what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398032545
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398032620
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398033040
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1428398047590
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398047868
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398050405
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398054067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398059782
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1428398062159
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398062292
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398064362
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.VariableView",1428398067520
activated,view,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.DebugView",1428398144449
executed,command,org.eclipse.debug.ui,3.7.0.v20110518,"org.eclipse.debug.ui.commands.Terminate",1428398144577
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1428398145116
activated,perspective,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.JavaPerspective",1428398148340
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398148363
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398148760
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1428398170641
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1428398179244
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1428398179398
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1428398179775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1428398184087
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1428398187154
